,specialty,abuse_type,count,percentage_within_specialty
2,General practice/internal medicine,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),22,62.9
1,General practice/internal medicine,Injúria (Cantadas e palavras ofensivas),7,20.0
0,General practice/internal medicine,Importunação sexual (Beijos forçados e toques sem permissão),6,17.1
6,Gynecology/obstetrics,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),50,52.1
5,Gynecology/obstetrics,Injúria (Cantadas e palavras ofensivas),30,31.2
4,Gynecology/obstetrics,Importunação sexual (Beijos forçados e toques sem permissão),15,15.6
3,Gynecology/obstetrics,Estupro de vulnerável (quando a vítima é menor de 14 anos ou está sob efeito de medicação),1,1.0
10,Pediatrics,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),7,58.3
9,Pediatrics,Importunação sexual (Beijos forçados e toques sem permissão),3,25.0
7,Pediatrics,Estupro de vulnerável (quando a vítima é menor de 14 anos ou esta sob efeito de medicação),1,8.3
8,Pediatrics,Estupro de vulnerável (quando a vítima é menor de 14 anos ou está sob efeito de medicação),1,8.3
