Timestamp,"1 - Você já foi vítima de algum tipo de abuso sexual por parte de um profissional da saúde, como toques ou comentários inapropriados?",2 - Como você se identifica?,4 - Quantos anos você tem?,3 - Qual a sua classe social?,5 - Com qual gênero você se identifica?,4 - Qual é a sua orientação sexual?,5 - Que tipo de abuso sexual você sofreu? (marque quantas forem necessárias),6 - Em que local ocorreu o abuso?,10 - Quantos anos você tinha quando o abuso aconteceu?,9 - Qual era a especialidade do profissional?,11 - Em qual estado aconteceu o abuso?,12 - Em qual cidade aconteceu o abuso?,15 - Você fez uma denúncia?,16 - Como foi a sua experiência no processo de Denúncia? (marque quantas forem necessárias)
3/4/2020 14:35:13,"Sim, por um profissional da saúde homem",Branca,18-25,Classe E - Renda mensal familiar até   R$ 1.254,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Posto de saúde,2-5,,Rio Grande do Sul,Cachoeira do sul,Não,
8/28/2020 11:05:39,"Sim, por um profissional da saúde homem",Branca,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Estupro de vulnerável (quando a vítima é menor de 14 anos ou está sob efeito de medicação),Clínica particular,2-5,Pediatra,Minas Gerais,Belo Horizonte,Não,
2/22/2020 1:25:03,"Sim, por uma profissional da saúde mulher",Branca,18-25,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital público,6-10,Pediatra,Minas Gerais,Poços de Caldas,Não,
3/4/2020 16:14:33,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,11-15,Ginecologista,São Paulo,Guarulhos,Não,
5/4/2020 20:49:37,"Sim, por um profissional da saúde homem",Branca,36-40,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Clínica particular,11-15,"foram três: um ginecologista, um clinico geral e um ortopedista",São Paulo,São Paulo,Não,
7/25/2020 11:30:38,"Sim, por um profissional da saúde homem",Parda,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Importunação sexual (Beijos forçados e toques sem permissão),Clínica particular,11-15,Alergologista,Pará,Belém,Não,
8/5/2020 11:16:55,"Sim, por um profissional da saúde homem",Branca,31-35,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Estupro de vulnerável (quando a vítima é menor de 14 anos ou está sob efeito de medicação)",Clínica particular,11-15,Ginecologista,Rio Grande do Sul,Ijuí,Não,
9/21/2020 10:45:19,"Sim, por um profissional da saúde homem",Branca,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Clínica particular,11-15,Pediatra,São Paulo,São José dos Campos,Não,
12/15/2019 19:40:18,"Sim, por um profissional da saúde homem",Parda,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,11-15,Ginecologista ,Bahia,Feira de Santana,Não,
12/15/2019 19:40:30,"Sim, por um profissional da saúde homem",Parda,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,11-15,Ginecologista ,Bahia,Feira de Santana,Não,
12/15/2019 19:57:32,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,11-15,Ambos gastro.,São Paulo,Batatais,Não,
12/16/2019 14:26:39,"Sim, por um profissional da saúde homem",Branca,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Lésbica,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas), Estupro (Ato sexual utilizando de violência ou grave ameaça), Estupro de vulnerável (quando a vítima é menor de 14 anos ou esta sob efeito de medicação)",Clínica particular,11-15,Dentista.,Rio de Janeiro,Niteroi.,Não,
12/17/2019 5:06:21,"Sim, por um profissional da saúde homem",Branca,36-40,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital particular,11-15,Dentista e ginecologista ,Goiás,Goiânia ,Não,
12/17/2019 13:53:28,"Sim, por um profissional da saúde homem",Branca,18-25,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,11-15,Dermatologista,São Paulo,Suzano,Não,
12/20/2019 5:15:28,"Sim, por um profissional da saúde homem",Branca,18-25,Classe E - Renda mensal familiar até   R$ 1.254,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Pansexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital público,11-15,Cardiologista ,Rio de Janeiro,Itaboraí ,Não,
12/20/2019 14:02:43,"Sim, por um profissional da saúde homem",Branca,31-35,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Lésbica,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital particular,11-15,Clínico Geral,Minas Gerais,Belo Horizonte,Não,
12/21/2019 14:51:51,"Sim, por um profissional da saúde homem",Negra,18-25,Classe C - Renda mensal familiar até    R$ 8.640,Não Binário,"Assexual, birromantico",Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital público,11-15,Pediatra,Tocantins,Porto Nacional,Não,
1/6/2020 11:14:57,"Sim, por um profissional da saúde homem",Parda,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital particular,11-15,Cardiologista,São Paulo,São Paulo,Não,
1/8/2020 8:24:11,"Sim, por um profissional da saúde homem",Branca,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Clínica particular,11-15,Dentista,Rio Grande do Sul,Uruguaiana ,Não,
1/20/2020 19:22:13,"Sim, por um profissional da saúde homem",Branca,18-25,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Hospital particular,11-15,Clínico Geral,Minas Gerais,Belo Horizonte,Não,
